SEMANA,FECHA DE PROCESO,CODIGO,EAN,LÍNEA PRODUCCION,"DESCRIPCIÓN
ARTÍCULO",KILOGRAMOS EN PIE,KILOGRAMOS PROCESADOS,CANTIDAD DE CERDOS,UNIDADES CON DEFECTOS PROCESO,DEFECTOS PROCESO,UNIDADES CON DEFECTOS GRANJA,DEFECTOS GRANJA,ESTÁNDAR,RENDIMIENTO DE LÍNEA,PESO PROMEDIO EN PIE,PESO PROMEDIO PROCESADO,%CALIDAD,CANTIDAD DE PERSONAL,HORA DE INICIO,HORA DE FIN,HORA DE INICIO PARA,HORA DE FIN PARA,MOTIVOS DE PARADAS,HORAS DE PARAS NO PLANIFICADAS,HORAS DE PARAS PLANIFICADAS,HORAS PROGRAMADAS,HORAS PRODUCTIVAS,VARIACIÓN DE HORAS EN PRODUCCIÓN,UNIDADES/HORA,KILOS/HORA/HOMBRE,%DISPONIBILIDAD,%RENDIMIENTO,OEE
36,1/9/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"22983,95","18622,25",210,3,RABOS Y COLUMNAS FRACTURADAS,,,40,"81,02%","109,447381","88,67738095","0,9857142857",27,9:55,17:35,,,,,1,"5,25","6,67","1,42",32,"103,46","73,02%","78,75%","56,68%"
36,2/9/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6971,75","5292,95",60,5,RABOS Y COLUMNAS FRACTURADAS,,,42,"75,92%","116,1958333","88,21583333","0,9166666667",28,8:00,10:09,,,,,,"1,428571429","2,15","0,72",28,"87,92","49,50%","66,45%","30,15%"
36,2/9/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"24432,75","19803,95",212,7,RABOS Y COLUMNAS FRACTURADAS,,,40,"81,05%","115,2488208","93,41485849","0,9669811321",28,9:41,17:10,,,,,1,"5,3","6,48","1,18",33,"109,09","77,67%","81,75%","61,40%"
36,3/9/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,"6799,25","5147,95",60,4,RABOS Y COLUMNAS FRACTURADAS,,,42,"75,71%","113,3208333","85,79916667","0,9333333333",28,8:00,10:05,,,,,,"1,428571429","2,08","0,65",29,"88,25","54,17%","68,57%","34,67%"
36,3/9/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"16424,2","13036,05",183,10,RABOS Y COLUMNAS FRACTURADAS,,,40,"79,37%","89,74972678","71,2352459","0,9453551913",28,9:35,16:10,,,,,1,"4,575","5,58","1,01",33,"83,39","77,96%","81,94%","60,39%"
36,3/9/2026,PPRO000209,,REPRODUCTORA,PP CANAL CERDO EVISCERADO REPRODUCTOR/A,"2566,1","1893,5",12,,,,,10,"73,79%","213,8416667","157,7916667",1,28,15:35,18:30,,,,,,"1,2","2,92","1,72",4,"23,19","0,00%","41,14%","0,00%"
36,4/9/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"13367,75","10952,35",120,6,RABOS Y COLUMNAS FRACTURADAS,,,40,"81,93%","111,3979167","91,26958333","0,95",28,12:30,15:30,,,,,1,3,"2,00","0,00",60,"195,58","100,00%","100,00%","95,00%"
36,5/9/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,"20228,95","16708,45",179,7,RABOS Y COLUMNAS FRACTURADAS,,,40,"82,60%","113,0108939","93,34329609","0,9608938547",34,7:00,11:35,,,,,1,"4,475","3,58","0,00",50,"137,14","100,00%","100,00%","96,09%"
37,8/9/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,13793.55,10432.75,120,4,RABOS Y COLUMNAS FRACTURADAS,,,42,75.63%,11.494.625,8.693.958.333,966.666.667,28,8:50,12:55,,,,,,2.857.142.857,04.08,1.23,29,91.25,57.08%,69.97%,38.61%
37,08/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,15473.35,12710.2,137,7,RABOS Y COLUMNAS FRACTURADAS,,,40,82.14%,1.129.441.606,9.277.518.248,948.905.109,28,13:25,17:15,,,,,1,3.425,2.83,0.00,48,160.21,100.00%,100.00%,94.89%
